date,strategy_value,regime,raw_regime_signal_same_day,execution_assumption,cash,cash_weight,QQQ_weight,SMH_weight,MSFT_weight,SPY_weight,tech_ai_concentration,semiconductor_exposure,MSFT_exposure
2005-03-23,19059.8837,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.156085,0.300849,0.243122,0.199083,0.100861,0.743054,0.243122,0.199083
2005-03-24,19099.4133,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.155762,0.300309,0.243664,0.199493,0.100773,0.743466,0.243664,0.199493
2005-03-28,19087.8938,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.155856,0.30107,0.243139,0.198955,0.10098,0.743164,0.243139,0.198955
2005-03-29,18929.6883,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.157158,0.301164,0.242234,0.198297,0.101147,0.741695,0.242234,0.198297
2005-03-30,19204.6233,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.154908,0.302452,0.24411,0.197419,0.101111,0.743981,0.24411,0.197419
2005-03-31,19125.9621,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.155545,0.302373,0.242431,0.198313,0.101337,0.743117,0.242431,0.198313
2005-04-01,18986.6373,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2860.2803,0.150647,0.300001,0.249997,0.199355,0.1,0.749353,0.249997,0.199355
2005-04-04,19045.0843,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2860.2803,0.150185,0.301229,0.249074,0.19965,0.099863,0.749953,0.249074,0.19965
2005-04-05,19111.9749,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2860.2803,0.149659,0.300998,0.248435,0.200922,0.099987,0.750354,0.248435,0.200922
2005-04-06,19143.5077,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2860.2803,0.149413,0.300009,0.24818,0.20223,0.100169,0.750419,0.24818,0.20223
